(-44,48,185)
(-50,44,195)
(-46,40,185)
(-50,42,197)
(-48,32,187)
(-48,44,193)
(-51,41,196)
(-60,44,197)
(-52,40,193)
(-48,38,191)
(-50,38,193)
(-56,40,191)
(-51,47,196)
(-65,45,192)
(-59,39,194)
(-57,37,192)
(-71,37,190)
(-74,48,183)
(-76,52,187)
(-88,58,177)
(-81,67,174)
(-95,77,170)
(-92,72,183)
(-89,55,174)
(-98,74,161)
(-104,70,169)
(-104,74,169)
(-103,73,168)
(-84,86,163)
(-106,112,141)
(-84,122,147)
(-91,123,132)
(-61,133,150)
(-54,102,169)
(-56,102,169)
(-44,90,179)
(-33,69,202)
(-7,61,198)
(-20,18,197)
(12,53,194)
(14,49,204)
(0,43,208)
(19,42,199)
(18,55,198)
(-11,71,200)
(-20,56,197)
(-39,67,194)
(-9,47,206)
(45,42,209)
(100,1,190)
(128,-18,178)
(118,-26,186)
(74,-20,192)
(24,1,214)
(-5,5,210)
(-52,36,197)
(-91,57,180)
(-123,63,154)
(-136,62,131)
(-126,70,155)
(-86,76,169)
(9,40,203)
(27,22,199)
(93,8,183)
(112,-6,174)
(114,-14,172)
(111,-19,173)
(73,-13,185)
(28,13,202)
(-76,34,189)
(-109,45,166)
(-128,42,153)
(-120,48,165)
(-93,43,176)
(-78,38,187)
(-36,34,197)
(-2,48,199)
(-16,54,191)
(-67,67,178)
(-110,38,167)
(-122,48,147)
(-153,47,134)
(-167,43,118)
(-179,43,110)
(-175,33,94)
(-188,42,97)
(-187,41,92)
(-170,36,95)
(-162,42,109)
(-147,55,140)
(-121,81,146)
(-111,107,142)
(-119,117,114)
(-134,120,109)
(-155,125,68)
(-147,141,60)
(-144,150,21)
(-142,150,23)
(-139,159,4)
(-128,158,3)
(-138,160,-8)
(-139,151,-15)
(-148,138,3)
(-150,138,7)
(-150,132,35)
(-143,127,80)
(-115,125,114)
(-81,115,150)
(-96,100,143)
(-99,107,138)
(-142,86,109)
(-163,85,98)
(-164,94,79)
(-167,107,40)
(-154,128,-20)
(-147,139,-29)
(-129,153,-21)
(-100,184,-28)
(-89,187,-27)
(-43,197,-29)
(-34,198,-58)
(-22,178,-82)
(-12,188,-94)
(-20,178,-86)
(-42,190,-74)
(-71,181,-45)
(-77,187,-29)
(-105,169,28)
(-111,153,76)
(-111,131,108)
(-110,106,141)
(-82,78,163)
(-85,79,172)
(-82,56,179)
(-55,47,186)
(-23,59,188)
(8,63,198)
(24,57,188)
(41,64,193)
(60,65,182)
(84,65,174)
(100,59,168)
(106,69,162)
(114,67,156)
(110,69,166)
(84,79,168)
(67,88,179)
(56,77,182)
(78,75,186)
(72,93,172)
(107,114,141)
(123,114,141)
(135,96,143)
(158,77,124)
(167,78,107)
(200,79,50)
(200,93,24)
(190,103,-1)
(180,125,-29)
(152,143,-49)
(145,146,-62)
(153,138,-48)
(163,116,-24)
(202,79,56)
(203,42,83)
(190,19,92)
(180,0,122)
(145,-33,135)
(139,-55,149)
(109,-83,163)
(70,-106,160)
(51,-117,163)
(20,-120,144)
(21,-115,167)
(35,-105,177)
(20,-82,182)
(20,-66,190)
(13,-51,191)
(11,-7,195)
(5,-7,205)
(5,-13,199)
(14,-30,200)
(2,-18,206)
(-4,-31,199)
(0,-39,201)
(30,-40,198)
(56,-50,194)
(88,-60,174)
(108,-50,176)
(150,-40,138)
(175,-27,123)
(190,-18,104)
(196,-18,102)
(168,-4,128)
(141,-1,161)
(59,-9,191)
(30,-8,200)
(-25,7,200)
(-77,7,180)
(-86,20,177)
(-111,53,160)
(-84,94,165)
(-79,125,152)
(-46,144,147)
(-26,154,131)
(-19,163,134)
(-9,149,150)
(0,125,160)
(22,123,164)
(45,118,159)
(60,121,152)
(66,125,152)
(65,132,145)
(59,146,137)
(57,152,131)
(54,163,114)
(68,155,126)
(70,157,126)
(35,116,159)
(25,106,177)
(1,96,181)
(-33,85,178)
(-34,86,179)
(-46,80,181)
(-47,59,192)
(-19,47,198)
(14,63,192)
(62,37,194)
(87,42,191)
(103,14,175)
(116,1,176)
(132,-8,166)
(154,-10,146)
(155,-9,141)
(122,-8,172)
(55,6,197)
(15,4,207)
(-62,-1,197)
