(-63,63,188)
(-48,60,191)
(-68,66,195)
(-59,59,186)
(-70,62,197)
(-60,62,189)
(-66,68,195)
(-58,60,195)
(-58,62,195)
(-68,58,193)
(-66,78,193)
(-69,63,188)
(-68,70,191)
(-65,69,184)
(-61,69,192)
(-76,78,183)
(-79,77,188)
(-81,79,180)
(-77,73,182)
(-86,82,175)
(-76,74,177)
(-72,88,181)
(-73,83,176)
(-79,89,182)
(-86,92,167)
(-83,105,164)
(-85,129,154)
(-79,153,136)
(-82,174,105)
(-73,191,98)
(-73,207,54)
(-65,205,16)
(-62,212,-24)
(-66,198,-82)
(-54,194,-100)
(-49,193,-99)
(-66,192,-84)
(-73,201,-63)
(-71,215,-51)
(-58,212,-22)
(-63,223,20)
(-58,206,57)
(-64,190,93)
(-70,164,115)
(-80,136,147)
(-92,56,175)
(-99,11,182)
(-88,-21,183)
(-88,-53,179)
(-57,-76,178)
(-59,-96,166)
(-60,-117,159)
(-67,-134,138)
(-65,-148,132)
(-65,-156,122)
(-42,-171,109)
(-39,-180,94)
(-45,-192,94)
(-40,-209,65)
(-39,-208,52)
(-46,-215,39)
(-53,-216,20)
(-44,-217,11)
(-55,-220,4)
(-59,-214,-3)
(-56,-215,3)
(-57,-212,34)
(-46,-201,71)
(-39,-180,106)
(-40,-145,141)
(-52,-119,161)
(-61,-52,188)
(-57,-10,198)
(-63,31,194)
(-58,52,193)
(-65,87,190)
(-71,105,172)
(-63,129,164)
(-63,137,156)
(-51,155,140)
(-52,162,139)
(-51,155,138)
(-62,154,137)
(-48,144,149)
(-48,120,157)
(-54,104,177)
(-55,65,186)
(-54,26,203)
(-41,-8,198)
(-60,-51,191)
(-49,-98,170)
(-46,-129,149)
(-41,-160,118)
(-39,-186,88)
(-35,-204,64)
(-35,-212,36)
(-41,-214,24)
(-40,-213,0)
(-49,-218,-1)
(-44,-223,5)
(-43,-220,14)
(-49,-214,24)
(-42,-201,57)
(-43,-188,96)
(-46,-151,133)
(-56,-109,167)
(-59,-52,190)
(-67,13,198)
(-70,72,183)
(-66,114,165)
(-60,160,139)
(-61,175,110)
(-58,192,91)
(-60,202,65)
(-67,211,38)
(-71,213,28)
(-70,214,19)
(-66,210,13)
(-69,209,-1)
(-74,212,-6)
(-77,205,-15)
(-79,209,-13)
(-77,207,-15)
(-80,204,-26)
(-68,210,-24)
(-76,212,1)
(-79,205,28)
(-70,196,75)
(-74,170,117)
(-67,145,142)
(-60,108,167)
(-71,63,194)
(-77,17,190)
(-82,-39,185)
(-70,-73,171)
(-73,-108,154)
(-64,-151,121)
(-59,-180,80)
(-59,-192,68)
(-66,-201,41)
(-55,-214,18)
(-51,-210,4)
(-56,-207,3)
(-56,-211,1)
(-64,-219,0)
(-55,-212,6)
(-61,-218,-3)
