(13,-167,193)
(19,-175,187)
(9,-171,191)
(8,-174,194)
(16,-170,188)
(12,-170,188)
(5,-177,183)
(11,-161,191)
(17,-171,189)
(6,-168,186)
(5,-167,195)
(-24,-163,197)
(-16,-169,195)
(-45,-158,192)
(-54,-155,197)
(-69,-148,194)
(-94,-153,179)
(-111,-164,160)
(-129,-160,140)
(-137,-164,134)
(-128,-153,151)
(-105,-158,166)
(-99,-160,166)
(-56,-153,191)
(-49,-154,186)
(-13,-154,186)
(-25,-158,194)
(-30,-159,191)
(-33,-164,190)
(-53,-166,182)
(-36,-165,177)
(-21,-164,184)
(-19,-176,184)
(-6,-165,187)
(7,-167,195)
(6,-170,194)
(20,-170,194)
(52,-164,196)
(51,-157,197)
(17,-161,205)
(-24,-169,191)
(-38,-167,181)
(-34,-165,185)
(-29,-170,186)
(-44,-159,187)
(-43,-166,196)
(-50,-157,179)
(-59,-172,180)
(-69,-168,174)
(-72,-165,173)
(-68,-167,165)
(-94,-161,167)
(-90,-149,175)
(-92,-149,167)
(-101,-154,164)
(-123,-150,152)
(-137,-136,148)
(-150,-129,143)
(-150,-119,155)
(-161,-112,146)
(-177,-92,148)
(-189,-70,140)
(-211,-52,126)
(-208,-43,129)
(-218,-17,113)
(-232,-1,101)
(-226,26,105)
(-225,25,94)
(-222,50,105)
(-222,74,99)
(-215,101,110)
(-200,130,113)
(-177,139,106)
(-127,181,122)
(-119,183,124)
(-89,203,136)
(-58,200,135)
(-43,201,150)
(-44,178,171)
(-57,191,168)
(-94,180,157)
(-103,171,150)
(-158,122,139)
(-173,117,128)
(-197,67,140)
(-204,64,139)
(-218,22,123)
(-213,13,118)
(-206,-33,143)
(-200,-41,137)
(-177,-92,150)
(-112,-133,173)
(-84,-135,181)
(-74,-145,189)
(-66,-147,189)
(-31,-138,202)
(-16,-135,213)
(-5,-128,218)
(1,-121,227)
(12,-110,228)
(64,-102,224)
(62,-80,230)
(71,-65,247)
(65,-57,241)
(89,-43,247)
(88,-34,232)
(81,20,235)
(79,26,241)
(73,64,235)
(66,83,238)
(50,121,220)
(44,133,218)
(28,149,214)
(-2,156,207)
(13,168,203)
(17,166,195)
(13,176,189)
(4,187,180)
(-14,184,175)
(-20,184,169)
(-7,185,182)
(22,179,186)
(27,160,207)
(37,156,197)
(44,147,202)
(59,140,215)
(69,130,221)
(55,118,217)
(76,107,230)
(74,83,236)
(78,69,238)
(69,48,243)
(74,35,236)
(69,18,249)
(74,15,242)
(62,0,252)
(46,-18,240)
(37,-31,255)
(18,-52,244)
(13,-57,245)
(-26,-63,239)
(-34,-77,229)
(-36,-87,233)
(-65,-92,218)
(-63,-92,220)
(-72,-93,211)
(-93,-80,212)
(-109,-82,216)
(-121,-70,190)
(-133,-82,200)
(-132,-69,195)
(-132,-77,191)
(-131,-76,198)
(-118,-71,199)
(-103,-92,212)
(-85,-94,208)
(-79,-98,212)
(-43,-100,214)
(-35,-106,210)
(-37,-116,226)
(-21,-122,210)
(19,-111,231)
(19,-103,227)
(33,-97,231)
(42,-98,230)
(51,-83,231)
(63,-81,243)
(73,-71,235)
(60,-78,238)
(50,-84,238)
(27,-89,233)
(16,-88,224)
(10,-104,234)
(-12,-99,223)
(-15,-100,222)
(-22,-111,225)
(-51,-100,228)
(-65,-92,212)
(-61,-96,218)
(-78,-99,219)
(-84,-97,201)
(-109,-92,196)
(-115,-88,198)
(-106,-89,199)
(-121,-84,198)
(-122,-87,191)
(-89,-116,202)
(-78,-113,201)
(-65,-138,198)
(-58,-135,193)
(-36,-145,203)
(-15,-142,200)
(3,-153,211)
(6,-144,204)
(16,-140,204)
(26,-150,204)
(24,-144,206)
(21,-145,209)
(-4,-151,203)
(-4,-143,203)
(-11,-148,202)
(-34,-143,203)
(-55,-136,202)
(-76,-133,195)
(-82,-125,193)
(-106,-107,205)
(-113,-88,206)
(-129,-74,192)
(-137,-72,190)
(-155,-48,188)
(-155,-56,184)
(-164,-49,181)
(-160,-51,173)
(-172,-37,169)
(-182,-35,169)
(-189,-40,150)
(-201,-52,150)
(-207,-40,132)
(-226,-23,115)
(-228,-23,97)
(-217,-46,112)
(-216,-61,115)
(-193,-88,130)
(-176,-101,145)
(-156,-123,153)
(-119,-132,174)
(-83,-136,184)
(-63,-154,188)
(-46,-139,203)
