(-38,90,88)
(-41,93,91)
(-25,93,87)
(-36,100,94)
(-41,87,85)
(-28,82,86)
(-5,91,91)
(43,59,83)
(54,56,84)
(81,73,101)
(101,95,111)
(103,111,109)
(100,118,120)
(96,118,114)
(107,121,115)
(106,130,116)
(116,130,112)
(119,147,107)
(126,150,118)
(131,159,115)
(134,160,110)
(129,159,113)
(127,167,117)
(134,158,120)
(126,164,124)
(131,159,119)
(129,171,123)
(126,170,128)
(118,174,128)
(125,167,121)
(115,163,129)
(106,156,120)
(102,156,132)
(68,148,130)
(33,139,133)
(47,141,125)
(13,169,139)
(9,175,139)
(12,174,138)
(-2,174,134)
(35,187,143)
(59,173,143)
(86,166,142)
(98,170,142)
(91,167,143)
(94,182,134)
(68,196,140)
(52,204,136)
(25,199,139)
(-35,223,123)
(-70,290,102)
(-50,324,90)
(-5,317,115)
(31,317,127)
(53,305,139)
(4,288,130)
(-35,285,111)
(-80,292,86)
(-135,305,21)
(-125,335,-31)
(-84,392,-100)
(-42,428,-130)
(8,440,-140)
(61,445,-185)
(63,419,-213)
(59,437,-181)
(117,439,-59)
(168,426,-20)
(270,310,4)
(290,248,-42)
(296,182,-74)
(263,85,-57)
(244,54,-30)
(226,72,42)
(165,55,105)
(159,27,73)
(149,-39,-35)
(169,-21,-125)
(218,34,-174)
(295,177,-167)
(306,270,-104)
(296,282,-18)
(236,170,90)
(204,90,86)
(219,19,-23)
(240,36,-58)
(267,69,-95)
(304,204,-92)
(310,244,-54)
(298,194,-2)
(255,91,15)
(251,61,-19)
(267,95,-103)
(295,173,-87)
(287,237,-11)
(234,210,86)
(214,172,100)
(233,159,89)
(262,128,28)
(267,167,39)
(232,218,86)
(200,220,102)
(212,208,108)
(245,163,67)
(247,165,59)
(230,178,80)
(193,207,121)
(198,192,130)
(227,169,95)
(225,189,95)
(214,212,106)
(176,254,134)
(172,254,132)
(180,230,130)
(201,221,115)
(176,238,120)
(89,281,139)
(75,291,143)
(102,278,150)
(157,263,137)
(153,271,129)
(141,277,141)
(102,296,140)
(94,290,142)
(137,277,133)
(151,279,127)
(158,290,118)
(91,275,145)
(60,250,156)
(13,275,141)
(-32,298,122)
(-31,309,109)
(-36,288,126)
(-22,268,132)
(-10,260,138)
(-20,266,138)
(-58,282,118)
(-87,299,87)
(-74,354,50)
(-65,375,37)
(-31,337,105)
(-34,318,114)
(-56,324,100)
(-80,372,26)
(-55,403,-11)
(-18,428,-32)
(52,436,-18)
(74,424,24)
(36,406,56)
(11,401,47)
(13,419,25)
(68,436,-8)
(107,419,5)
(127,403,25)
(134,396,46)
(120,404,40)
(94,412,18)
(102,404,18)
(117,393,29)
(174,344,54)
(151,331,77)
(146,352,80)
(105,369,65)
(123,361,73)
(159,275,93)
(172,262,100)
(187,233,97)
(188,216,92)
(190,198,98)
(175,173,103)
(126,86,88)
(115,45,63)
(99,3,9)
(66,-16,-4)
(35,-27,-41)
(10,-34,-86)
(13,-43,-113)
(24,-42,-92)
(60,4,22)
(68,32,48)
(51,69,79)
(48,84,88)
(45,121,119)
(40,214,134)
(41,295,125)
(25,347,95)
(-35,385,29)
(-80,380,4)
(-128,336,12)
(-64,262,116)
(-15,253,155)
(59,251,163)
(122,256,162)
(178,250,154)
(247,235,113)
(283,241,73)
(323,231,29)
(339,165,-51)
(325,131,-103)
(277,63,-179)
(212,16,-200)
(152,4,-228)
(78,8,-236)
(83,-5,-231)
(108,-8,-220)
(227,9,-103)
(243,69,7)
(237,175,77)
(212,200,92)
(176,252,110)
(142,318,110)
(64,334,112)
(-29,339,93)
(-61,327,79)
(-84,312,64)
(-77,271,101)
(-54,238,110)
(-53,217,107)
(-33,223,125)
(-26,206,120)
(-11,191,121)
(4,196,130)
(-2,214,134)
(-27,229,121)
(-22,230,126)
(-30,240,112)
(-31,283,103)
(-54,318,78)
(-53,321,71)
(-38,352,50)
(-16,340,64)
(31,315,111)
(27,315,107)
(-22,306,106)
(-68,312,60)
(-78,332,26)
(-57,359,19)
(-26,360,56)
(8,356,72)
(28,350,88)
(20,348,94)
(1,323,95)
(-53,327,77)
(-71,317,65)
(-54,328,66)
(-4,320,96)
(14,300,110)
(-34,298,102)
(-73,309,83)
(-68,292,98)
(-76,298,88)
(-74,302,84)
(-106,322,26)
(-80,380,-40)
(-49,393,-17)
(-46,354,46)
(-44,318,82)
(-63,331,69)
(-50,398,-18)
(-6,418,-30)
(30,410,4)
(31,389,41)
(31,379,59)
(-6,394,20)
(21,429,-23)
(63,433,-35)
(117,403,5)
(114,398,24)
(116,398,28)
(54,410,8)
(38,424,-26)
(56,432,-56)
(88,426,-34)
(133,403,-3)
(161,393,-1)
(120,414,8)
(60,430,-22)
(14,434,-62)
(25,433,-63)
(50,426,-16)
(62,422,6)
(29,415,13)
(-13,413,-33)
(-14,434,-54)
(24,436,-48)
(76,406,30)
(85,373,73)
(96,296,116)
(99,231,127)
(96,166,118)
(61,87,81)
(46,44,52)
(31,19,17)
(35,27,27)
(51,65,67)
(84,146,118)
(107,221,127)
(102,296,110)
(86,366,66)
(56,394,32)
(1,393,23)
(-61,367,7)
(-110,338,0)
(-130,258,38)
(-126,234,54)
(-99,229,75)
(-13,197,127)
(23,193,143)
(51,193,129)
(62,198,134)
(80,206,128)
(73,219,135)
(52,220,136)
(53,213,139)
(41,215,143)
(18,216,136)
(-8,226,128)
(-14,238,120)
(6,236,132)
(0,218,126)
(-8,218,128)
(-30,222,126)
(-66,228,106)
(-100,244,82)
(-116,264,60)
(-95,289,75)
(-59,289,105)
(-18,296,122)
(-24,292,120)
(-56,294,90)
(-90,302,70)
(-88,302,68)
(-46,302,106)
(11,301,123)
(-6,302,118)
(-70,316,84)
(-86,338,42)
(-71,365,31)
(-8,360,72)
(16,366,80)
(5,357,89)
(-21,353,79)
(5,353,97)
(13,315,117)
(10,300,120)
(11,307,121)
(26,312,124)
(5,301,125)
(-12,296,118)
(-33,309,103)
(-33,305,113)
(-17,307,117)
(-31,309,109)
(-31,291,119)
(-43,301,101)
(-58,324,86)
(-48,340,70)
(-49,369,43)
(-45,383,27)
(-65,389,-11)
(-81,407,-77)
(-75,397,-115)
(-90,372,-140)
(-122,340,-154)
(-146,302,-130)
(-185,211,-67)
(-158,192,-4)
(-89,193,85)
(-33,211,125)
(19,221,147)
(78,198,140)
(78,164,134)
(71,137,121)
(123,173,121)
(95,179,123)
(81,199,131)
(101,223,127)
(91,239,131)
(51,249,135)
(31,243,129)
(3,253,125)
(-23,245,121)
(-42,252,110)
(-75,269,79)
(-73,323,75)
(-24,334,88)
(54,320,108)
(69,309,111)
(33,315,105)
(-37,319,83)
(6,312,120)
(69,321,117)
(102,300,112)
(59,295,117)
(-58,292,88)
(-93,297,41)
(-87,321,45)
(-35,337,77)
(-39,305,91)
(-70,286,92)
(-134,288,4)
(-142,306,-38)
(-77,377,-97)
(-49,407,-91)
(-21,427,-55)
(-45,405,-7)
(-74,374,8)
(-95,353,1)
(-71,377,3)
(-24,398,20)
(31,397,47)
(40,390,54)
(8,372,70)
(-77,379,15)
(-90,378,-26)
(-66,396,-44)
(34,436,-38)
(79,431,-13)
(110,408,34)
(139,367,73)
(148,310,96)
(213,223,83)
(247,217,53)
(234,262,58)
(113,327,99)
(47,343,101)
(-30,352,74)
(-34,348,82)
(-24,332,94)
(32,302,128)
(50,282,140)
(81,255,141)
(148,248,116)
(206,262,86)
(195,331,73)
(150,362,64)
(101,391,61)
(-4,386,48)
(-34,386,34)
(-45,375,27)
(-32,354,66)
(-4,332,96)
(32,310,120)
(114,266,134)
(158,260,114)
(176,308,92)
(134,348,82)
(76,376,84)
(14,384,58)
(3,373,57)
(9,381,67)
(46,344,104)
(88,314,122)
(138,292,116)
(172,280,104)
(148,312,104)
(70,360,90)
(30,362,80)
(9,367,77)
(17,345,91)
(58,336,98)
(109,329,107)
(134,322,96)
(169,325,89)
(123,335,103)
(82,306,116)
(51,289,129)
(44,272,130)
(39,263,131)
(21,283,125)
(9,271,125)
(-8,264,122)
(-26,264,124)
(-48,266,118)
(-83,257,93)
(-100,246,64)
(-122,262,44)
(-144,252,14)
(-158,240,-4)
(-161,249,-19)
(-167,249,-49)
(-163,261,-47)
(-149,289,-39)
(-112,356,-40)
(-76,400,-36)
(-46,426,-56)
(2,432,-66)
(30,440,-88)
(72,436,-112)
(72,440,-122)
(70,434,-122)
(29,429,-85)
(-16,420,-62)
(-79,383,-33)
(-109,343,-1)
(-136,290,30)
(-135,203,41)
(-116,146,46)
(-82,96,46)
(-47,35,1)
(-37,-1,-17)
(-20,-14,-52)
(-18,-22,-84)
(-22,-6,-126)
(-38,-10,-142)
(-31,-21,-121)
(-25,-21,-83)
(-9,-3,-9)
(1,23,33)
(21,91,99)
(9,149,119)
(-5,221,135)
(-15,339,99)
(-3,387,57)
(7,435,11)
(31,445,-47)
(34,458,-80)
(34,448,-120)
(31,437,-125)
(28,434,-124)
(26,446,-100)
(35,441,-57)
(13,429,1)
(-2,350,90)
(-17,281,121)
(-23,203,129)
