(-45,-6,92)
(-39,-3,88)
(-41,-6,94)
(-41,-5,93)
(-43,-4,91)
(-40,-4,92)
(-42,-7,92)
(-44,-5,90)
(-41,-5,92)
(-40,-6,93)
(-41,0,89)
(-41,-3,92)
(-39,0,92)
(-42,-3,94)
(-41,0,90)
(-34,-4,96)
(-34,-3,95)
(-41,-3,94)
(-46,-2,91)
(-42,0,87)
(-39,0,89)
(-40,-7,98)
(-42,-4,91)
(-44,0,85)
(-38,-1,75)
(-34,-27,83)
(-25,-52,64)
(-7,-49,87)
(-22,-70,71)
(-16,-80,76)
(-17,-81,80)
(-17,-58,76)
(-14,-9,73)
(-17,-17,69)
(-24,-25,93)
(-31,-34,95)
(-25,-35,93)
(-22,-34,86)
(-18,-52,101)
(-28,-46,92)
(-33,-33,96)
(-29,-34,103)
(-25,-41,102)
(-45,-25,103)
(-9,-27,90)
(0,-21,124)
(-21,-52,108)
(-17,-35,72)
(-34,-36,40)
(-55,-48,29)
(-65,-59,-8)
(-72,-82,54)
(-79,-123,105)
(-52,-110,88)
(-12,-76,120)
(-1,-80,135)
(11,-44,106)
(1,-22,73)
(-28,-16,65)
(-33,-14,50)
(-36,-41,49)
(-69,-103,28)
(-41,-99,116)
(-31,-121,84)
(-5,-97,112)
(-34,-125,79)
(15,-44,88)
(-6,-39,71)
(-10,0,84)
(-38,3,55)
(-65,33,3)
(-81,27,-5)
(-91,-10,50)
(-87,-35,84)
(-59,-2,118)
(-41,4,102)
(-25,0,102)
(-27,-9,90)
(-7,-5,109)
(-9,52,79)
(-7,51,91)
(-23,65,48)
(-35,64,56)
(-49,78,27)
(-49,76,10)
(-65,68,-13)
(-80,65,-14)
(-83,55,-11)
(-97,40,11)
(-94,19,24)
(-91,15,47)
(-90,3,51)
(-88,-6,50)
(-91,-10,55)
(-69,4,76)
(-59,11,86)
(-55,17,91)
(-41,26,89)
(-26,32,94)
(-18,26,79)
(-5,19,89)
(-10,12,98)
(-9,13,102)
(-14,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(-5,-5,6)
(101,97,104)
(-18,-101,14)
(-24,-104,9)
(-22,-105,-11)
(-22,-101,-8)
(-20,-96,-27)
(-21,-86,-48)
(-26,-92,-55)
(-27,-77,-59)
(-27,-64,-72)
(-30,-60,-76)
(-32,-48,-77)
(-44,-56,-90)
(-29,-29,-85)
(-36,-18,-97)
(-39,-14,-85)
(-37,-1,-88)
(-42,8,-82)
(-39,24,-79)
(-44,28,-98)
(-32,52,-53)
(-29,66,-52)
(-34,72,-48)
(-37,80,-56)
(-33,83,27)
(-15,90,24)
(-2,84,38)
(3,80,33)
(11,65,52)
(11,55,71)
(4,52,84)
(0,39,99)
(5,22,102)
(0,14,100)
(8,1,101)
(7,-13,88)
(0,-25,106)
(15,-40,90)
(2,-61,83)
(3,-66,87)
(0,-68,80)
(0,-53,84)
(-3,-61,91)
(-17,-53,84)
(-23,-58,95)
(-20,-33,95)
(-17,-16,95)
(-22,-13,88)
(-23,-14,97)
(-11,-6,99)
(-11,-6,111)
(-17,-9,95)
(-27,-22,77)
(-25,-26,76)
(-30,-39,61)
(-29,-53,75)
(-12,-50,87)
(-15,-67,76)
