(46,-158,196)
(41,-151,197)
(50,-158,200)
(41,-153,197)
(42,-158,200)
(38,-154,190)
(43,-161,191)
(42,-146,192)
(40,-150,196)
(42,-148,192)
(39,-153,199)
(38,-148,192)
(32,-150,198)
(36,-144,208)
(44,-152,194)
(42,-160,190)
(63,-153,203)
(82,-160,188)
(87,-155,183)
(103,-161,171)
(115,-149,185)
(114,-136,176)
(121,-123,189)
(100,-88,220)
(70,-76,234)
(27,-69,235)
(-27,-58,242)
(-51,-60,232)
(-108,-91,197)
(-148,-121,141)
(-162,-113,139)
(-201,-92,110)
(-208,-77,109)
(-221,-70,82)
(-233,-40,72)
(-228,-41,87)
(-190,-33,151)
(-143,-62,192)
(-113,-58,212)
(-67,-80,214)
(-4,-121,217)
(13,-131,213)
(35,-147,197)
(57,-155,193)
(68,-158,194)
(85,-141,191)
(91,-109,215)
(81,-85,221)
(64,-76,232)
(36,-62,238)
(23,-41,241)
(4,-36,240)
(6,-22,242)
(27,-11,247)
(37,-31,249)
(66,-64,232)
(67,-67,237)
(111,-65,219)
(107,-51,225)
(63,-1,237)
(32,1,248)
(-32,36,257)
(-14,46,257)
(0,52,249)
(20,29,260)
(49,24,239)
(46,29,242)
(14,51,244)
(-9,63,246)
(-56,78,235)
(-34,78,237)
(16,81,240)
(2,79,240)
(-10,102,235)
(-65,119,218)
(-84,118,203)
(-132,126,163)
(-150,138,161)
(-118,144,149)
(-92,152,189)
(-64,152,187)
(-43,131,212)
(-35,127,212)
(-45,133,214)
(-65,129,194)
(-103,141,172)
(-124,138,155)
(-141,141,142)
(-132,160,131)
(-116,170,127)
(-98,180,137)
(-66,178,165)
(-62,166,177)
(-92,156,173)
(-118,140,159)
(-125,137,152)
(-136,152,139)
(-125,163,142)
(-78,182,155)
(-49,167,176)
(-49,169,186)
(-78,158,179)
(-108,158,147)
(-132,152,133)
(-148,172,99)
(-163,177,32)
(-161,185,8)
(-173,177,-39)
(-154,156,-106)
(-147,135,-147)
(-116,106,-192)
(-107,83,-213)
(-104,88,-216)
(-148,136,-146)
(-174,168,-24)
(-161,187,28)
(-101,189,110)
(-62,192,151)
(-10,128,209)
(27,66,237)
(55,2,243)
(101,-41,233)
(126,-70,212)
(155,-75,183)
(188,-52,166)
(204,3,158)
(177,106,161)
(134,139,164)
(61,190,151)
(-20,218,113)
(-58,220,85)
(-123,217,60)
(-123,211,46)
(-126,214,39)
(-112,218,47)
(-107,219,48)
(-114,214,51)
(-124,216,31)
(-120,216,25)
(-113,215,24)
(-118,224,31)
(-114,216,33)
(-115,219,26)
(-118,228,27)
(-113,227,36)
(-109,215,44)
(-110,230,63)
(-117,213,50)
(-116,224,55)
(-114,222,57)
(-119,215,56)
(-121,205,62)
(-115,211,68)
(-114,210,65)
(-118,216,59)
(-107,225,66)
(-109,223,58)
(-105,219,62)
(-104,212,57)
(-102,212,55)
(-104,210,57)
(-105,211,48)
(-107,225,66)
(-110,216,65)
(-108,222,59)
(-109,219,62)
(-114,214,59)
(-111,217,60)
(-106,212,57)
(-96,212,89)
(-78,184,131)
(37,76,237)
(80,3,234)
(139,-27,213)
(154,-50,198)
(153,-65,199)
(200,-44,176)
(218,-36,138)
(242,-30,122)
(262,19,64)
(279,22,-10)
(269,-3,-20)
(267,-43,-42)
(249,-113,-48)
(232,-132,-39)
(207,-189,-16)
(167,-207,-22)
(163,-223,-48)
(192,-162,-115)
(215,-131,-100)
(229,-145,-40)
(182,-204,-7)
(158,-212,-17)
(209,-153,-80)
(245,-69,-104)
(240,-60,-97)
(232,-34,-125)
(240,17,-117)
(234,39,-115)
(241,68,-100)
(224,75,-121)
(213,72,-122)
(206,99,-127)
(190,113,-129)
(196,121,-131)
(187,142,-120)
(193,160,-84)
(198,153,-65)
(254,61,-43)
(268,19,-23)
(258,-94,20)
(254,-98,-9)
(259,-91,-10)
(256,-96,-7)
(262,-92,-1)
(258,-74,2)
(257,-91,15)
(252,-104,2)
(269,-97,-6)
(266,-80,-11)
(256,-68,-9)
(256,-82,-7)
(264,-76,-9)
(270,-64,-1)
